uncertaincheck,casrn,name,average_mass,endpoint,new_rfc,source,subsource,type,duration,species,dxw,daf,pod_hec,interspecies,intraspecies,subtochronic,loaectonoaec,allufs,toxval_numeric,toxval_units,value_ppb,toxicological_effect,study_type,source_url,subsource_url,entry_modified_br,additional_notes_br,long_ref,
,106-93-4,"1,2-Dibromoethane",188,ocular,3,Health Canada,"U.S. EPA, 2004 (based on NTP, 1982)",BMCL,chronic,mouse,0,1,91,3,10,1,1,30,3,mg/m3,364,"nasal inflammation, hepatic necrosis, testicular and retinal atrophy, adrenal cortical degeneration, splenic hematopoiesis",chronic,https://publications.gc.ca/site/eng/9.694269/publication.html,.,,.,.,
,106-93-4,"1,2-Dibromoethane",188,reproductive,0,Cal OEHHA,Cal OEHHA Export,REL,chronic,human,,,,,,,,,0,mg/m3,0,Reproductive system,,https://oehha.ca.gov/chemicals,https://oehha.ca.gov/chemicals/12-dibromoethane,,,,
,106-93-4,"1,2-Dibromoethane",188,respiratory,1,IRIS,IRIS Summary,RfC,chronic,human,,,,,,,,,0,mg/m3,1,Nasal inflammation in male/female mice,Toxicity Value,https://www.epa.gov/iris,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=361,,DAF=1 https://iris.epa.gov/static/pdfs/0361tr.pdf,.,
,106-97-8,Butane,58,developmental,25290,CompTox,ECHA eChemPortal,NOAEC,chronic,rodent,0,1,758699,3,10,1,1,30,,.,3034795,.,.,.,.,,.,.,
,106-97-8,Butane,58,neurological,5357,ECHA IUCLID,Neurotoxicity,NOAEC,.,rat,0,1,1607038,3,10,10,1,300,21394,mg/m3,8999437,Neurotoxicity,repeat dose other,https://echa.europa.eu/,https://echa.europa.eu/registration-dossier/-/registered-dossier/15193/7/10/1?documentUUID=40b60020-9f78-4951-850e-65f73fcd86d7,1,.,.,
,106-97-8,Butane,58,reproductive,25290,CompTox,ECHA eChemPortal,NOAEC,chronic,rodent,0,1,758699,3,10,1,1,30,,.,3034795,.,.,.,.,,.,.,
,106-97-8,Butane,58,systemic,2955,CompTox,ECHA IUCLID,NOAEC,.,rodent,0,1,886434,3,10,10,1,300,,.,4964040,.,.,.,.,,.,.,
,106-98-9,1-Butene,56,developmental,4762,EPA HPVIS,HPVIS Mammalian Repeat Dose,NOAEC,subchronic,rat,0,1,1428572,3,10,10,1,300,18359,mg/m3,8000024,reproduction developmental,reproduction developmental,.,.,1,.,.,
,106-98-9,1-Butene,56,reproductive,4762,EPA HPVIS,HPVIS Mammalian Repeat Dose,NOAEC,subchronic,rat,0,1,1428572,3,10,10,1,300,18359,mg/m3,8000024,reproduction developmental,reproduction developmental,.,.,1,.,.,
,106-99-0,"1,3-Butadiene",54,cardiovascular,1190,ATSDR Tox Profile,NTP 1993,NOAEC,chronic,rodent,0,1,35714,3,10,1,1,30,,.,200000,.,.,.,.,,.,.,
,106-99-0,"1,3-Butadiene",54,developmental,24,EPA HPVIS,HPVIS Mammalian Devtox,NOAEC,subchronic,mouse,0,1,7143,3,10,10,1,300,88,mg/m3,40000,reproduction developmental,reproduction developmental,.,.,1,.,.,
,106-99-0,"1,3-Butadiene",54,gastrointestinal,119,ATSDR Tox Profile,NTP 1993,NOAEC,subchronic,rodent,0,1,35714,3,10,10,1,300,,.,200000,.,.,.,.,,.,.,
,106-99-0,"1,3-Butadiene",54,hematological,1190,ATSDR Tox Profile,NTP 1993,NOAEC,chronic,rodent,0,1,35714,3,10,1,1,30,,.,200000,.,.,.,.,,.,.,
,106-99-0,"1,3-Butadiene",54,hepatic,372,ATSDR Tox Profile,NTP 1993,NOAEC,chronic,rodent,0,1,11161,3,10,1,1,30,,.,62500,.,.,.,.,,.,.,
,106-99-0,"1,3-Butadiene",54,immunological,10417,CompTox,ECHA POC,NOAEC,chronic,rodent,0,1,312500,3,10,1,1,30,,.,1250000,.,.,.,.,,.,.,
,106-99-0,"1,3-Butadiene",54,musculoskeletal,372,ATSDR Tox Profile,NTP 1993,NOAEC,subchronic,rodent,0,1,111607,3,10,10,1,300,,.,625000,.,.,.,.,,.,.,
,106-99-0,"1,3-Butadiene",54,neurological,7440,ATSDR Tox Profile,NTP 1984,NOAEC,chronic,rodent,0,1,223214,3,10,1,1,30,,.,1250000,.,.,.,.,,.,.,
,106-99-0,"1,3-Butadiene",54,ocular,119,ATSDR Tox Profile,NTP 1993,NOAEC,subchronic,rodent,0,1,35714,3,10,10,1,300,,.,200000,.,.,.,.,,.,.,
,106-99-0,"1,3-Butadiene",54,reproductive,1,IRIS,NTP 1993,RfC,chronic,rodent,,,,,10,,,,0,mg/m3,1,Ovarian atrophy in female mice,Toxicity Value,https://www.epa.gov/iris,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=139,,.,.,
,106-99-0,"1,3-Butadiene",54,respiratory,119,ATSDR Tox Profile,NTP 1993,NOAEC,subchronic,rodent,0,1,35714,3,10,10,1,300,,.,200000,.,.,.,.,,.,.,
